ranges,hit,predict,actual,tp,fp,tn,fn,tpr,fpr
0.0,3025.0,2137.4764465642784,4144.0,1906.0,1119.0,0.0,0.0,1.0,1.0
0.02,3025.0,2137.4764465642784,4144.0,1906.0,1119.0,0.0,0.0,1.0,1.0
0.04,3015.0,2137.4764465642784,4144.0,1903.0,1112.0,7.0,3.0,0.9984260230849947,0.9937444146559428
0.06,2997.0,2137.4764465642784,4144.0,1899.0,1098.0,21.0,7.0,0.9963273871983211,0.9812332439678284
0.08,2981.0,2137.4764465642784,4144.0,1892.0,1089.0,30.0,14.0,0.9926547743966422,0.9731903485254692
0.1,2969.0,2137.4764465642784,4144.0,1888.0,1081.0,38.0,18.0,0.9905561385099685,0.966041108132261
0.12000000000000001,2945.0,2137.4764465642784,4144.0,1885.0,1060.0,59.0,21.0,0.9889821615949633,0.9472743521000894
0.14,2923.0,2137.4764465642784,4144.0,1877.0,1046.0,73.0,29.0,0.9847848898216159,0.934763181411975
0.16,2907.0,2137.4764465642784,4144.0,1870.0,1037.0,82.0,36.0,0.9811122770199371,0.9267202859696158
0.18,2889.0,2137.4764465642784,4144.0,1866.0,1023.0,96.0,40.0,0.9790136411332634,0.9142091152815014
0.19999999999999998,2874.0,2137.4764465642784,4144.0,1862.0,1012.0,107.0,44.0,0.9769150052465897,0.90437890974084
0.21999999999999997,2849.0,2137.4764465642784,4144.0,1857.0,992.0,127.0,49.0,0.9742917103882477,0.8865058087578195
0.23999999999999996,2835.0,2137.4764465642784,4144.0,1853.0,982.0,137.0,53.0,0.972193074501574,0.8775692582663092
0.25999999999999995,2814.0,2137.4764465642784,4144.0,1841.0,973.0,146.0,65.0,0.965897166841553,0.8695263628239499
0.27999999999999997,2784.0,2137.4764465642784,4144.0,1830.0,954.0,165.0,76.0,0.9601259181532005,0.8525469168900804
0.3,2764.0,2137.4764465642784,4144.0,1822.0,942.0,177.0,84.0,0.9559286463798531,0.8418230563002681
0.32,2742.0,2137.4764465642784,4144.0,1814.0,928.0,191.0,92.0,0.9517313746065058,0.8293118856121537
0.34,2713.0,2137.4764465642784,4144.0,1797.0,916.0,203.0,109.0,0.9428121720881427,0.8185880250223414
0.36000000000000004,2688.0,2137.4764465642784,4144.0,1789.0,899.0,220.0,117.0,0.9386149003147953,0.803395889186774
0.38000000000000006,2655.0,2137.4764465642784,4144.0,1770.0,885.0,234.0,136.0,0.9286463798530955,0.7908847184986595
0.4000000000000001,2619.0,2137.4764465642784,4144.0,1751.0,868.0,251.0,155.0,0.9186778593913956,0.775692582663092
0.4200000000000001,2586.0,2137.4764465642784,4144.0,1735.0,851.0,268.0,171.0,0.9102833158447009,0.7605004468275246
0.4400000000000001,2550.0,2137.4764465642784,4144.0,1720.0,830.0,289.0,186.0,0.9024134312696747,0.741733690795353
0.46000000000000013,2505.0,2137.4764465642784,4144.0,1701.0,804.0,315.0,205.0,0.8924449108079748,0.7184986595174263
0.48000000000000015,2470.0,2137.4764465642784,4144.0,1682.0,788.0,331.0,224.0,0.8824763903462749,0.7042001787310098
0.5000000000000001,2429.0,2137.4764465642784,4144.0,1658.0,771.0,348.0,248.0,0.869884575026233,0.6890080428954424
0.5200000000000001,2395.0,2137.4764465642784,4144.0,1639.0,756.0,363.0,267.0,0.859916054564533,0.675603217158177
0.5400000000000001,2351.0,2137.4764465642784,4144.0,1614.0,737.0,382.0,292.0,0.8467995802728226,0.6586237712243074
0.5600000000000002,2311.0,2137.4764465642784,4144.0,1600.0,711.0,408.0,306.0,0.8394543546694648,0.6353887399463807
0.5800000000000002,2268.0,2137.4764465642784,4144.0,1578.0,690.0,429.0,328.0,0.8279118572927597,0.6166219839142091
0.6000000000000002,2226.0,2137.4764465642784,4144.0,1556.0,670.0,449.0,350.0,0.8163693599160545,0.5987488829311886
